163.120.179.133,10.0.0.81,It,6 to Router 8004
57.169.239.1,10.0.0.59,is,5 to Router 8002
206.62.249.244,10.0.0.31,a,2 to Router 8002
1.174.129.249,10.0.0.227,period,6 to Router 8002
85.21.138.42,10.0.0.84,of,2 to Router 8004
145.125.253.238,10.0.0.33,ATTACK,1 to Router 8002
186.137.55.165,10.0.0.250,civil,5 to Router 8002
21.153.138.62,10.0.0.78,war.,3 to Router 8004
89.213.174.85,10.0.0.51,Rebel,6 to Router 8002
40.173.213.130,159.21.205.131,spaceships,4 to Router 8002
129.81.162.172,124.116.149.188,striking,4 to Router 8002
150.236.28.8,10.0.0.15,from,3 to Router 8002
227.115.105.218,10.0.0.164,a,6 to Router 8002
255.141.190.27,10.0.0.7,hidden,6 to Router 8002
132.133.229.65,129.236.199.167,base,4 to Router 8002
141.134.121.228,10.0.0.96,have,4 to Router 8002
53.252.94.87,10.0.0.35,won,6 to Router 8002
251.145.229.229,125.158.229.29,their,6 to Router 8002
67.234.52.1,240.115.229.25,first,3 to Router 8002
202.212.83.32,10.0.0.21,victory,1 to Router 8002
188.71.91.33,160.235.247.184,against,3 to Router 8002
218.34.61.114,106.184.139.63,the,4 to Router 8002
2.66.47.62,112.131.19.21,evil,6 to Router 8002
138.172.147.178,220.170.151.114,Galactic,3 to Router 8002
14.123.3.34,89.125.201.1,Empire.,6 to Router 8002
182.9.170.44,10.0.0.110,During,5 to Router 8002
90.26.174.116,226.40.186.90,the,5 to Router 8002
228.174.57.52,10.0.0.236,battle,2 to Router 8002
61.247.65.19,10.0.0.36,Rebel,4 to Router 8002
13.83.117.65,82.152.82.133,spies,3 to Router 8002
69.93.70.201,10.0.0.65,managed,4 to Router 8004
58.65.226.121,10.0.0.69,THE,1 to Router 8004
40.211.104.44,10.0.0.208,to,3 to Router 8002
116.188.87.104,10.0.0.6,steal,6 to Router 8002
60.200.250.123,10.0.0.179,secret,6 to Router 8002
59.25.159.177,10.0.0.210,plans,3 to Router 8002
172.119.12.95,132.148.21.165,to,5 to Router 8002
63.12.23.98,10.0.0.86,the,2 to Router 8004
61.126.76.30,10.0.0.139,Empire's,5 to Router 8002
228.15.235.228,134.197.103.190,ultimate,3 to Router 8002
61.211.10.182,10.0.0.49,weapon,2 to Router 8002
113.255.118.159,10.0.0.175,the,6 to Router 8002
