57.169.239.1,10.0.0.59,is,4 to Router 8003
1.174.129.249,10.0.0.227,period,5 to Router a
145.125.253.238,10.0.0.33,ATTACK,0 to Router 8003
186.137.55.165,10.0.0.250,civil,4 to Router a
89.213.174.85,10.0.0.51,Rebel,5 to Router 8003
40.173.213.130,159.21.205.131,spaceships,3 to Router 8004
129.81.162.172,124.116.149.188,striking,3 to Router 8004
227.115.105.218,10.0.0.164,a,5 to Router 8004
132.133.229.65,129.236.199.167,base,3 to Router 8004
141.134.121.228,10.0.0.96,have,3 to Router 8004
53.252.94.87,10.0.0.35,won,5 to Router 8003
251.145.229.229,125.158.229.29,their,5 to Router 8004
67.234.52.1,240.115.229.25,first,2 to Router 8004
188.71.91.33,160.235.247.184,against,2 to Router 8004
218.34.61.114,106.184.139.63,the,3 to Router 8004
2.66.47.62,112.131.19.21,evil,5 to Router 8004
138.172.147.178,220.170.151.114,Galactic,2 to Router 8004
14.123.3.34,89.125.201.1,Empire.,5 to Router 8004
182.9.170.44,10.0.0.110,During,4 to Router 8004
90.26.174.116,226.40.186.90,the,4 to Router 8004
228.174.57.52,10.0.0.236,battle,1 to Router a
61.247.65.19,10.0.0.36,Rebel,3 to Router 8003
13.83.117.65,82.152.82.133,spies,2 to Router 8004
40.211.104.44,10.0.0.208,to,2 to Router a
60.200.250.123,10.0.0.179,secret,5 to Router 8004
59.25.159.177,10.0.0.210,plans,2 to Router a
172.119.12.95,132.148.21.165,to,4 to Router 8004
61.126.76.30,10.0.0.139,Empire's,4 to Router 8004
228.15.235.228,134.197.103.190,ultimate,2 to Router 8004
61.211.10.182,10.0.0.49,weapon,1 to Router 8003
113.255.118.159,10.0.0.175,the,5 to Router 8004
241.173.141.120,10.0.0.175,DEATH,3 to Router 8004
4.168.171.78,10.0.0.188,armored,4 to Router 8004
120.133.233.237,146.15.91.132,space,3 to Router 8004
43.254.123.126,10.0.0.208,station,3 to Router a
191.83.15.16,10.99.222.0,enough,3 to Router 8004
145.125.253.238,10.0.0.125,power,2 to Router 8004
61.31.25.67,10.0.0.101,to,3 to Router 8004
119.178.213.101,10.0.0.132,destroy,1 to Router 8004
134.87.209.97,214.174.22.103,entire,5 to Router 8004
197.186.46.194,10.0.0.115,Pursued,2 to Router 8004
70.224.161.175,10.0.0.241,by,2 to Router a
43.126.251.77,75.255.68.179,the,3 to Router 8004
157.172.73.89,10.0.0.63,Empire's,5 to Router 8003
102.187.248.198,10.0.0.167,sinister,2 to Router 8004
98.47.159.136,75.216.255.9,Princess,2 to Router 8004
185.85.169.245,62.58.20.72,races,4 to Router 8004
207.145.35.158,10.0.0.202,home,2 to Router a
12.97.17.146,69.77.137.116,aboard,2 to Router 8004
88.103.183.51,10.0.0.122,her,5 to Router 8004
232.174.128.64,248.170.131.115,starship,3 to Router 8004
48.12.174.145,10.0.0.128,custodian,4 to Router 8004
237.210.96.30,109.128.123.96,of,4 to Router 8004
84.149.46.42,10.0.0.248,stolen,5 to Router a
217.122.110.120,40.84.208.61,plans,2 to Router 8004
235.220.197.76,10.0.0.253,that,2 to Router a
15.242.220.114,10.0.0.97,CLONES,0 to Router 8004
57.79.28.239,10.0.0.118,save,2 to Router 8004
24.204.239.1,10.0.0.54,her,1 to Router 8003
215.67.76.166,137.209.135.28,people,3 to Router 8004
169.236.44.218,10.0.0.100,and,2 to Router 8004
48.156.218.118,10.0.0.51,freedom,5 to Router 8003
189.220.107.132,10.0.0.149,to,1 to Router 8004
29.7.164.89,10.0.0.206,the,3 to Router a
140.110.201.184,10.0.0.235,galaxy.,4 to Router a
